Date,chanNum,Depth,Screws
20210215,15,61,0
20210215,16,61,0
20210215,17,68,0
20210215,18,55,0
20210215,19,40,0
20210215,20,44,0
20210215,21,49,0
20210215,22,32.25,0
20210215,23,29.25,0
20210215,24,54.5,0
20210215,25,77,0
20210215,26,76.5,0
20210215,27,76,0
20210215,28,70.75,0
20210215,29,98,0
20210215,30,76.75,0
20210215,31,77.75,0
20210215,32,79.25,0
20210215,33,65,0
20210215,34,65.5,0
20210215,35,23.5,0
20210215,36,70,0
20210215,37,70,0
20210215,38,101,0
20210215,39,70,0
20210215,40,107.25,0
20210215,41,70,0
20210215,42,68,0
20210215,43,75,0
20210215,44,68.5,3.5
20210215,45,71,0
20210215,46,43,0
20210215,47,27,0
20210215,48,72,0
20210215,49,84,0
20210215,50,90,0
20210215,51,75,0
20210215,52,75,0
20210215,53,68.5,0
20210215,54,59.5,0
20210215,55,69,0
20210215,56,60.75,0
20210215,57,69,0
20210215,58,68,0
20210215,59,41,0
20210215,60,26,0
20210215,61,98,0
20210215,62,74.5,0
20210215,63,123.75,0
20210215,64,86,0
20210215,65,76,0
20210215,66,70,0
20210215,67,67,0
20210215,68,69,0
20210215,69,67,0
20210215,70,67.5,0
20210215,71,44,0
20210215,72,30,0
20210215,73,64,0
20210215,74,74,0
20210215,75,76,0
20210215,76,64,0
20210215,77,72,0
20210215,78,74,0
20210215,79,75.5,0
20210215,80,71,0
20210215,81,76.5,0
20210215,82,66.5,0
20210215,83,63.75,0
20210215,84,31.25,0
20210215,85,87.25,0
20210215,86,77,0
20210215,87,77.25,0
20210215,88,93,0
20210215,89,77.75,0
20210215,90,76,0
20210215,91,72,0
20210215,92,66,0
20210215,93,54,0
20210215,94,61,0
20210215,95,34,0
20210215,96,59,0
20210215,97,81,0
20210215,98,74.75,0
20210215,99,78.75,0
20210215,100,81.5,1
20210215,101,76,0
20210215,102,74,0
20210215,103,70.5,0
20210215,104,61,0
20210215,105,57,1.75
20210215,106,31.5,0
20210215,107,56,0
20210215,108,70,0
20210215,109,70,0
20210215,110,79,0
20210215,111,68,0
20210215,112,77.75,0
20210215,113,71,0
20210215,114,64.25,0
20210215,115,69,0
20210215,116,29,0
20210215,117,46.5,0
20210215,118,38,0
20210215,119,63,0
20210215,120,65,0
20210215,121,69.5,0
20210215,122,69,0
20210215,123,65,0
20210215,124,55,0
20210215,125,65,0
20210215,126,28,0
20210215,127,70,0
20210215,128,64,0
20210215,129,63.5,0
20210215,130,67.5,0
20210215,131,67,0
20210215,132,73,0
20210215,133,58.75,0
20210215,134,104,0
20210215,135,29,0
20210215,136,60.5,0
20210215,137,65,0
20210215,138,62,0
20210215,139,58.25,0
20210215,140,64,0
20210215,141,59,0
20210215,142,59.75,0
20210215,143,58,0
20210215,144,28,0
20210215,145,0,0
20210215,146,0,0
20210215,147,0,0
20210215,148,0,0
20210215,149,0,0
20210215,150,0,0
20210215,151,0,0
20210215,152,0,0
20210215,153,0,0
20210215,154,0,0
20210215,155,0,0
20210215,156,0,0
20210215,157,0,0
20210215,158,0,0
20210215,159,0,0
20210215,160,0,0
20210216,1,0,0
20210216,2,0,0
20210216,3,0,0
20210216,4,61,0
20210216,5,70.25,0
20210216,6,71.75,0
20210216,7,63.5,0
20210216,8,73,0
20210216,9,58,0
20210216,10,31,0
20210216,11,30,0
20210216,12,30.5,0
20210216,13,57,0
20210216,14,51,0
20210216,15,61,0
20210216,16,61,0
20210216,17,68,0
20210216,18,55,0
20210216,19,40,0
20210216,20,44,0
20210216,21,49,0
20210216,22,32.25,0
20210216,23,29.25,0
20210216,24,54.5,0
20210216,25,77,0
20210216,26,76.5,0
20210216,27,76,0
20210216,28,70.75,0
20210216,29,100.25,2.25
20210216,30,76.75,0
20210216,31,77.75,0
20210216,32,79.25,0
20210216,33,65,0
20210216,34,65.5,0
20210216,35,23.5,0
20210216,36,70,0
20210216,37,70,0
20210216,38,101,0
20210216,39,70,0
20210216,40,107.25,0
20210216,41,70,0
20210216,42,68,0
20210216,43,75,0
20210216,44,68.5,0
20210216,45,71,0
20210216,46,43,0
20210216,47,27,0
20210216,48,72,0
20210216,49,84,0
20210216,50,90,0
20210216,51,75,0
20210216,52,75,0
20210216,53,68.5,0
20210216,54,59.5,0
20210216,55,69,0
20210216,56,60.75,0
20210216,57,69,0
20210216,58,68,0
20210216,59,41,0
20210216,60,26,0
20210216,61,98,0
20210216,62,74.5,0
20210216,63,123.75,0
20210216,64,86,0
20210216,65,76,0
20210216,66,70,0
20210216,67,67,0
20210216,68,69,0
20210216,69,67,0
20210216,70,67.5,0
20210216,71,44,0
20210216,72,30,0
20210216,73,64,0
20210216,74,74,0
20210216,75,76,0
20210216,76,64,0
20210216,77,72,0
20210216,78,74,0
20210216,79,75.5,0
20210216,80,71,0
20210216,81,76.5,0
20210216,82,66.5,0
20210216,83,63.75,0
20210216,84,31.25,0
20210216,85,87.25,0
20210216,86,77,0
20210216,87,77.25,0
20210216,88,93,0
20210216,89,77.75,0
20210216,90,76,0
20210216,91,72,0
20210216,92,66,0
